8.5183 6.7474E-6 6.9214E-6 7.201E-6 7.8123E-6 7.9938E-6 0.00001395 0.000025846 0.000034095 0.000044242 0.000071291 0.00010866 0.00016882 0.00023963 0.00039119 0.0005281 0.00062808 0.00072383 0.00055993 
7.402 0.000011662 0.000011955 0.000012435 0.000013454 0.000013764 0.000023821 0.000044556 0.000058907 0.00007624 0.00012108 0.00017992 0.00027036 0.00037186 0.00057591 0.00074888 0.00088345 0.00087887 0.00064972 
6.4173 0.000018789 0.000019254 0.000020025 0.000021635 0.000022136 0.000038411 0.000071827 0.000094357 0.00012094 0.0001874 0.00027088 0.00039189 0.00052133 0.00077087 0.00098006 0.0010767 0.00099242 0.00070809 
5.5764 0.00002887 0.000029591 0.000030791 0.000033278 0.000034059 0.000059012 0.00010839 0.00014064 0.00017811 0.0002684 0.00037529 0.00052462 0.0006807 0.00097612 0.0011655 0.0012235 0.0010943 0.00076422 
4.8456 0.0000434 0.000044472 0.000046261 0.000049927 0.000051083 0.000087033 0.0001559 0.00019967 0.00024877 0.00036198 0.00049263 0.00067004 0.0008525 0.0011625 0.0013365 0.0013839 0.0012075 0.00084613 
4.2107 0.000064189 0.000065718 0.000068261 0.000073461 0.000075079 0.00012527 0.00021745 0.00027315 0.00033445 0.00047406 0.00063044 0.00084127 0.0010412 0.001358 0.0015361 0.0015679 0.0013499 0.00091719 
3.6505 0.000094626 0.000096802 0.00010041 0.00010778 0.00011005 0.00017885 0.00029811 0.00036902 0.00044615 0.00061797 0.00080901 0.0010472 0.0012679 0.0016155 0.001798 0.0018078 0.0015133 0.0010248 
3.1721 0.00014144 0.00014453 0.00014953 0.00015998 0.00016306 0.0002573 0.00041895 0.00051378 0.00061623 0.00084353 0.0010869 0.0013919 0.0016855 0.0021546 0.0023992 0.0024063 0.0020028 0.0013508 
2.7565 0.00022135 0.00022601 0.0002334 0.00024918 0.0002537 0.00039365 0.00063377 0.00077707 0.00092766 0.0012605 0.0016201 0.00208 0.0025256 0.0032364 0.0035771 0.0035231 0.0028772 0.0020612 
2.3953 0.00034251 0.00034944 0.0003605 0.00038374 0.00039049 0.0005993 0.00095727 0.0011665 0.0013882 0.0018715 0.0023871 0.0030371 0.0036462 0.0045464 0.0048588 0.0046906 0.0037138 0.0023957 
2.1397 0.00047675 0.00048625 0.00050136 0.00053349 0.00054273 0.00082954 0.0013082 0.0015865 0.0018809 0.0025112 0.0031742 0.0039853 0.0047194 0.0056909 0.0059487 0.0056241 0.0042902 0.0025924 
2.0766 0.00052174 0.00053214 0.00054866 0.00058383 0.00059392 0.00090497 0.0014227 0.0017233 0.0020402 0.0027165 0.0034237 0.0042818 0.0050486 0.0060342 0.0062699 0.0058987 0.004443 0.0026638 
1.8045 0.0007855 0.00080064 0.0008249 0.00087604 0.00089077 0.0013382 0.0020755 0.0024955 0.0029319 0.0038493 0.0047801 0.0058575 0.0067518 0.0078005 0.0079102 0.0073394 0.0051985 0.0031248 
1.6533 0.00099576 0.0010147 0.001045 0.0011083 0.0011266 0.0016812 0.0025815 0.003088 0.0036104 0.0046957 0.0057687 0.0069676 0.0079362 0.0090202 0.0090662 0.0082299 0.0057397 0.0034262 
1.568 0.0011436 0.001165 0.0011993 0.0012712 0.0012921 0.0019202 0.0029282 0.0034924 0.0040725 0.0052629 0.0064174 0.0076885 0.008703 0.0098057 0.0097912 0.0088 0.0061054 0.0036208 
1.3625 0.00164 0.0016701 0.0017181 0.0018191 0.001848 0.0027037 0.0040541 0.0047989 0.0055528 0.0070505 0.0084596 0.0099703 0.011154 0.012421 0.012088 0.0107 0.0073312 0.0042986 
