1.973e-01 1.654e-02 1.671e-02 1.608e-02 1.613e-02 1.512e-02 1.438e-02 1.411e-02 1.388e-02 1.353e-02 1.308e-02 1.172e-02 1.037e-02 8.066e-03 6.286e-03 3.579e-03 1.967e-03 1.003e-03
1.635e-01 2.129e-02 2.152e-02 2.128e-02 2.113e-02 2.102e-02 2.124e-02 2.146e-02 2.298e-02 2.429e-02 2.410e-02 2.233e-02 1.987e-02 1.559e-02 1.219e-02 7.045e-03 3.849e-03 1.937e-03
1.355e-01 3.421e-02 3.459e-02 3.606e-02 3.561e-02 3.874e-02 3.916e-02 4.575e-02 4.727e-02 4.946e-02 4.853e-02 4.409e-02 3.720e-02 2.909e-02 2.242e-02 1.245e-02 6.237e-03 2.907e-03
1.123e-01 5.305e-02 5.160e-02 5.506e-02 5.578e-02 5.539e-02 6.255e-02 6.349e-02 6.108e-02 5.812e-02 5.333e-02 4.501e-02 3.641e-02 2.691e-02 1.932e-02 9.260e-03 3.662e-03 1.044e-03
9.309e-02 8.325e-02 8.347e-02 8.580e-02 8.600e-02 8.649e-02 8.431e-02 8.119e-02 7.779e-02 7.501e-02 7.176e-02 6.639e-02 5.492e-02 4.188e-02 3.118e-02 1.606e-02 8.505e-03 4.448e-03
7.715e-02 1.114e-01 1.108e-01 1.108e-01 1.099e-01 1.082e-01 1.045e-01 1.055e-01 1.051e-01 1.062e-01 1.065e-01 1.025e-01 8.640e-02 6.741e-02 5.067e-02 2.922e-02 1.593e-02 7.357e-03
6.394e-02 1.415e-01 1.445e-01 1.419e-01 1.424e-01 1.453e-01 1.503e-01 1.571e-01 1.645e-01 1.682e-01 1.690e-01 1.627e-01 1.384e-01 1.086e-01 8.454e-02 4.826e-02 2.496e-02 1.155e-02
5.300e-02 2.142e-01 2.171e-01 2.200e-01 2.235e-01 2.318e-01 2.502e-01 2.715e-01 2.902e-01 3.075e-01 3.214e-01 3.468e-01 3.090e-01 2.504e-01 1.981e-01 1.164e-01 6.384e-02 3.227e-02
4.392e-02 3.455e-01 3.504e-01 3.598e-01 3.665e-01 3.847e-01 4.278e-01 4.779e-01 5.312e-01 5.952e-01 6.725e-01 8.249e-01 7.585e-01 6.245e-01 5.016e-01 3.048e-01 1.725e-01 8.748e-02
3.641e-02 5.961e-01 6.047e-01 6.223e-01 6.395e-01 6.861e-01 8.009e-01 9.557e-01 1.154e+00 1.374e+00 1.610e+00 1.982e+00 1.817e+00 1.503e+00 1.210e+00 7.346e-01 4.103e-01 2.044e-01
3.017e-02 1.123e+00 1.144e+00 1.194e+00 1.243e+00 1.390e+00 1.750e+00 2.187e+00 2.662e+00 3.120e+00 3.553e+00 4.150e+00 3.760e+00 3.083e+00 2.460e+00 1.464e+00 7.974e-01 3.839e-01
2.501e-02 2.443e+00 2.509e+00 2.641e+00 2.784e+00 3.151e+00 3.941e+00 4.775e+00 5.609e+00 6.365e+00 7.034e+00 7.846e+00 7.011e+00 5.681e+00 4.484e+00 2.611e+00 1.394e+00 6.615e-01
2.073e-02 5.475e+00 5.611e+00 5.870e+00 6.136e+00 6.807e+00 8.180e+00 9.575e+00 1.089e+01 1.203e+01 1.298e+01 1.392e+01 1.227e+01 9.842e+00 7.694e+00 4.414e+00 2.331e+00 1.097e+00
1.718e-02 1.137e+01 1.160e+01 1.205e+01 1.250e+01 1.361e+01 1.581e+01 1.798e+01 1.994e+01 2.150e+01 2.265e+01 2.330e+01 2.026e+01 1.609e+01 1.247e+01 7.053e+00 3.679e+00 1.706e+00
1.424e-02 2.195e+01 2.232e+01 2.303e+01 2.374e+01 2.547e+01 2.878e+01 3.187e+01 3.445e+01 3.624e+01 3.731e+01 3.689e+01 3.165e+01 2.488e+01 1.911e+01 1.064e+01 5.467e+00 2.499e+00
1.180e-02 3.959e+01 4.014e+01 4.118e+01 4.220e+01 4.463e+01 4.905e+01 5.288e+01 5.574e+01 5.730e+01 5.773e+01 5.501e+01 4.653e+01 3.615e+01 2.749e+01 1.502e+01 7.589e+00 3.408e+00
9.780e-03 6.637e+01 6.708e+01 6.843e+01 6.971e+01 7.267e+01 7.770e+01 8.160e+01 8.395e+01 8.423e+01 8.276e+01 7.543e+01 6.267e+01 4.794e+01 3.593e+01 1.913e+01 9.410e+00 4.096e+00
8.106e-03 1.028e+02 1.036e+02 1.051e+02 1.064e+02 1.093e+02 1.136e+02 1.157e+02 1.154e+02 1.126e+02 1.080e+02 9.481e+01 7.730e+01 5.806e+01 4.282e+01 2.212e+01 1.058e+01 4.505e+00
6.718e-03 1.462e+02 1.468e+02 1.478e+02 1.486e+02 1.499e+02 1.502e+02 1.478e+02 1.430e+02 1.359e+02 1.272e+02 1.070e+02 8.512e+01 6.239e+01 4.497e+01 2.229e+01 1.026e+01 4.170e+00
5.568e-03 1.879e+02 1.878e+02 1.874e+02 1.868e+02 1.847e+02 1.780e+02 1.688e+02 1.576e+02 1.449e+02 1.318e+02 1.058e+02 8.155e+01 5.775e+01 4.035e+01 1.888e+01 8.167e+00 3.127e+00
4.615e-03 2.193e+02 2.181e+02 2.157e+02 2.131e+02 2.060e+02 1.900e+02 1.730e+02 1.558e+02 1.391e+02 1.232e+02 9.463e+01 7.059e+01 4.826e+01 3.267e+01 1.442e+01 6.049e+00 2.314e+00
3.825e-03 2.318e+02 2.294e+02 2.246e+02 2.197e+02 2.074e+02 1.835e+02 1.613e+02 1.409e+02 1.224e+02 1.059e+02 7.826e+01 5.664e+01 3.751e+01 2.471e+01 1.069e+01 4.485e+00 1.715e+00
3.170e-03 2.225e+02 2.192e+02 2.127e+02 2.063e+02 1.910e+02 1.630e+02 1.389e+02 1.182e+02 1.004e+02 8.514e+01 6.093e+01 4.303e+01 2.797e+01 1.835e+01 7.937e+00 3.330e+00 1.274e+00
2.628e-03 1.969e+02 1.932e+02 1.860e+02 1.791e+02 1.629e+02 1.350e+02 1.121e+02 9.338e+01 7.791e+01 6.509e+01 4.561e+01 3.200e+01 2.080e+01 1.365e+01 5.903e+00 2.476e+00 9.469e-01
2.178e-03 1.625e+02 1.590e+02 1.521e+02 1.455e+02 1.305e+02 1.056e+02 8.604e+01 7.060e+01 5.833e+01 4.851e+01 3.395e+01 2.382e+01 1.549e+01 1.016e+01 4.396e+00 1.844e+00 7.051e-01
1.805e-03 1.269e+02 1.238e+02 1.179e+02 1.123e+02 9.973e+01 7.940e+01 6.422e+01 5.262e+01 4.348e+01 3.617e+01 2.531e+01 1.776e+01 1.155e+01 7.581e+00 3.279e+00 1.375e+00 5.258e-01
1.496e-03 9.538e+01 9.295e+01 8.832e+01 8.400e+01 7.439e+01 5.920e+01 4.791e+01 3.927e+01 3.246e+01 2.700e+01 1.890e+01 1.326e+01 8.626e+00 5.662e+00 2.449e+00 1.027e+00 3.926e-01
1.240e-03 7.113e+01 6.932e+01 6.588e+01 6.266e+01 5.551e+01 4.420e+01 3.579e+01 2.934e+01 2.426e+01 2.019e+01 1.413e+01 9.918e+00 6.451e+00 4.235e+00 1.832e+00 7.681e-01 2.936e-01
